timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1754563515475101000,3.0130553245544434,-13.701086044311523,1982.0899200439453,823.6178541183472,1982.0899200439453,823.6178541183472,95.5,101.5,1,1,0,0
1754563515514732800,1.799821138381958,-13.081664085388184,2097.747573852539,831.943473815918,2097.747573852539,831.943473815918,117.5,125.5,1,1,0,0
1754563515541467600,2.5764591693878174,-11.330227851867676,1950.3046417236328,875.6949806213379,1950.3046417236328,875.6949806213379,171.0,124.0,1,1,0,0
1754563515573025400,3.414862871170044,-11.551047325134277,1915.078125,890.1588249206543,1915.078125,890.1588249206543,171.0,138.5,1,1,0,0
1754563515601299300,2.7515664100646973,-11.325055122375488,1938.2205963134766,886.5478849411011,1938.2205963134766,886.5478849411011,175.0,152.5,1,1,0,0
1754563515626865800,3.1780402660369873,-11.174637794494629,1930.880355834961,913.1773924827576,1930.880355834961,913.1773924827576,176.0,178.5,1,1,0,0
1754563515674055800,3.2233617305755615,-12.378069877624512,1932.9496765136719,883.9916324615479,1938.2205963134766,883.9916324615479,188.0,175.0,1,1,0,0
1754563515696828000,3.581174612045288,-12.189282417297363,1906.7877960205078,894.4936394691467,1938.2205963134766,883.9916324615479,132.0,172.0,1,1,0,0
1754563515722132300,3.7052700519561768,-12.649065971374512,1886.341323852539,914.0455913543701,1932.9496765136719,883.9916324615479,149.5,181.5,1,1,0,0
1754563515756266300,3.566681146621704,-11.952326774597168,1903.1245422363281,945.5874681472778,1932.9496765136719,883.9916324615479,202.5,204.5,1,1,0,0
1754563515786808000,3.921294689178467,-11.573195457458496,1905.1159286499023,953.040189743042,1906.7877960205078,894.4936394691467,199.0,184.5,1,1,0,0
1754563515835906400,3.8043103218078613,-13.079371452331543,1863.1305313110352,900.834059715271,1905.1159286499023,900.834059715271,200.0,183.0,1,1,0,0
1754563515866173300,3.0460927486419678,-12.14290714263916,1945.1161193847656,961.0420775413513,1932.9496765136719,900.834059715271,159.5,192.0,1,1,0,0
1754563515913266300,3.302074909210205,-11.014256477355957,1952.1759796142578,983.2192897796631,1906.7877960205078,900.834059715271,167.5,180.5,1,1,0,0
1754563515937786800,3.290504217147827,-10.50479507446289,1935.5204772949219,1002.7126622200012,1932.9496765136719,900.834059715271,186.5,196.5,1,1,0,0
1754563515967817200,3.4182119369506836,-11.595694541931152,1954.844970703125,944.8908233642578,1935.5204772949219,944.8908233642578,167.0,180.5,1,1,0,0
1754563515994938500,3.4818339347839355,-11.653273582458496,1954.3157958984375,965.539755821228,1935.5204772949219,944.8908233642578,190.0,183.5,1,1,0,0
1754563516028828000,3.525609016418457,-11.731162071228027,1943.4185028076172,952.5069880485535,1935.5204772949219,944.8908233642578,177.5,190.0,1,1,0,0
1754563516072901600,3.805302143096924,-11.993599891662598,1925.70556640625,941.062753200531,1935.5204772949219,944.8908233642578,203.5,180.0,1,1,0,0
1754563516098997500,3.235400676727295,-11.791827201843262,1967.2897338867188,925.8647346496582,1935.5204772949219,944.8908233642578,134.5,200.0,1,1,0,0
1754563516125016400,3.554873466491699,-11.31976318359375,1933.344497680664,973.9257574081421,1935.5204772949219,944.8908233642578,189.5,181.0,1,1,0,0
1754563516154542700,3.071716547012329,-12.226595878601074,1945.8332061767578,945.3489661216736,1935.5204772949219,944.8908233642578,183.0,210.5,1,1,0,0
1754563516184073800,2.9473564624786377,-11.251505851745605,1945.6924438476562,989.4570994377136,1935.5204772949219,944.8908233642578,185.5,196.5,1,1,0,0
1754563516235788700,2.7397642135620117,-12.175092697143555,1958.7588500976562,923.8000988960266,1935.5204772949219,944.8908233642578,130.5,196.5,1,1,0,0
1754563516266331100,2.7059988975524902,-11.740485191345215,1971.0264587402344,959.3022036552429,1945.6924438476562,944.8908233642578,174.0,220.5,1,1,0,0
1754563516316501300,2.372485876083374,-12.639490127563477,1898.1288528442383,929.554853439331,1935.5204772949219,944.8908233642578,148.5,199.0,1,1,0,0
1754563516340032400,2.3024051189422607,-13.453653335571289,1802.1150970458984,895.8374905586243,1935.5204772949219,944.8908233642578,219.5,206.5,1,1,0,0
1754563516367057100,3.0568151473999023,-12.0438814163208,1940.1589965820312,934.4850540161133,1940.1589965820312,944.8908233642578,136.0,210.5,1,1,0,0
1754563516393464600,3.5491907596588135,-11.774474143981934,1880.4331970214844,987.4650764465332,1935.5204772949219,944.8908233642578,216.0,212.0,1,1,0,0
1754563516428005200,3.1128249168395996,-11.916699409484863,1956.814956665039,965.2699685096741,1935.5204772949219,944.8908233642578,161.5,206.5,1,1,0,0
1754563516472134200,3.3939340114593506,-11.0734224319458,1905.212631225586,984.1427206993103,1935.5204772949219,944.8908233642578,200.5,194.0,1,1,0,0
1754563516498317000,3.0693447589874268,-11.88659954071045,1961.9835662841797,959.1916108131409,1935.5204772949219,959.1916108131409,179.0,186.0,1,1,0,0
1754563516522873500,3.4630625247955322,-12.552947998046875,1949.3170166015625,921.0959815979004,1935.5204772949219,944.8908233642578,158.5,194.0,1,1,0,0
1754563516554198900,2.5126965045928955,-13.167649269104004,2007.0201873779297,917.0999622344971,1935.5204772949219,944.8908233642578,179.5,184.0,1,1,0,0
1754563516584727500,2.5049943923950195,-12.234241485595703,2012.2247314453125,952.8988265991211,1949.3170166015625,952.8988265991211,162.0,194.0,1,1,0,0
1754563516636837300,1.154528260231018,-10.792630195617676,2002.3146057128906,956.8142509460449,1949.3170166015625,944.8908233642578,118.5,170.0,1,1,0,0
1754563516665934900,1.347743272781372,-11.446588516235352,2035.4814147949219,876.8912243843079,2002.3146057128906,944.8908233642578,106.0,152.5,1,1,0,0
1754563516712477500,2.2348084449768066,-12.898201942443848,2074.4384765625,864.4035029411316,2002.3146057128906,944.8908233642578,111.0,136.5,1,1,0,0
1754563516736511200,2.152090072631836,-12.889222145080566,2063.8458251953125,855.3979754447937,2002.3146057128906,944.8908233642578,105.5,129.0,1,1,0,0
1754563516760785100,0.8776481747627258,-10.409541130065918,2016.9955444335938,931.7946481704712,2016.9955444335938,931.7946481704712,143.0,82.5,1,1,0,0
1754563516795071700,1.0867812633514404,-11.08836841583252,2013.4160614013672,897.1293926239014,2013.4160614013672,931.7946481704712,107.0,115.0,1,1,0,0
1754563516824434300,1.5583957433700562,-9.579181671142578,1809.5570755004883,905.5254364013672,2002.3146057128906,931.7946481704712,123.0,128.0,1,1,0,0
1754563516876985200,1.933341383934021,-8.822871208190918,1630.0279998779297,900.4731845855713,2013.4160614013672,931.7946481704712,142.5,140.5,1,1,0,0
1754563516906505900,1.787363886833191,-8.065977096557617,1484.8442459106445,901.3744068145752,2002.3146057128906,905.5254364013672,127.5,122.5,1,1,0,0
1754563516929039400,1.8509918451309204,-10.016440391540527,1800.9821319580078,881.4533400535583,1809.5570755004883,905.5254364013672,138.0,121.0,1,1,0,0
1754563516989113500,1.6317588090896606,-10.731240272521973,1895.844383239746,820.7032370567322,1895.844383239746,901.3744068145752,130.0,107.5,1,1,0,0
1754563517013140000,1.7335758209228516,-10.38242244720459,1818.3187866210938,815.2763986587524,1818.3187866210938,901.3744068145752,132.5,107.5,1,1,0,0
1754563517039681000,1.3860548734664917,-10.101717948913574,1776.3894653320312,768.9741110801697,1809.5570755004883,881.4533400535583,151.5,98.5,1,1,0,0
1754563517065701100,1.6260006427764893,-10.55316162109375,1806.9131469726562,747.051043510437,1818.3187866210938,820.7032370567322,148.5,89.5,1,1,0,0
1754563517116247900,1.6304571628570557,-11.14899730682373,1936.6326141357422,786.2724280357361,1818.3187866210938,815.2763986587524,153.5,83.0,1,1,0,0
1754563517141782200,1.79393470287323,-11.612627029418945,1938.9015197753906,772.0433521270752,1818.3187866210938,786.2724280357361,158.0,101.5,1,1,0,0
1754563517168320100,1.507001280784607,-11.313888549804688,1980.2140045166016,793.0715703964233,1818.3187866210938,793.0715703964233,150.0,91.5,1,1,0,0
1754563517192109300,1.547678828239441,-10.045575141906738,1812.6042938232422,782.2508525848389,1818.3187866210938,786.2724280357361,163.5,90.0,1,1,0,0
1754563517227988700,1.5061858892440796,-8.802993774414062,1575.5432510375977,751.9018077850342,1818.3187866210938,786.2724280357361,165.0,83.5,1,1,0,0
1754563517271660500,0.8711678385734558,-9.529939651489258,1782.7428817749023,787.1816325187683,1818.3187866210938,787.1816325187683,160.5,87.5,1,1,0,0
1754563517296696000,1.598582148551941,-9.43625545501709,1744.7364807128906,818.9523553848267,1812.6042938232422,786.2724280357361,169.5,85.5,1,1,0,0
1754563517319948100,0.7339675426483154,-7.95690393447876,1454.2357635498047,756.1789441108704,1782.7428817749023,786.2724280357361,170.5,100.0,1,1,0,0
1754563517354482200,-0.2253284603357315,-8.095440864562988,1481.9011688232422,715.7824301719666,1782.7428817749023,786.2724280357361,155.5,86.5,1,1,0,0
1754563517384506000,-0.77154940366745,-6.4994587898254395,1079.051513671875,629.9368929862976,1744.7364807128906,786.2724280357361,157.0,94.5,1,1,0,0
1754563517435649300,-2.0529136657714844,-4.689823627471924,553.2855606079102,402.61250138282776,1481.9011688232422,756.1789441108704,163.0,98.5,1,1,0,0
